id,area,invocation,user_story,expected_behaviour,phase1_status,phase1_notes,phase2_result,phase2_notes,phase3_fix,phase4_result
CD-01,cognitive-demo,cognitive-demo (no args),"As an operator, I want a usage message when I run the tool with no command so I know the command surface.",Prints usage string listing every subcommand to stderr; exits 1.,Inventoried,,PASS,rc=1; cognitive-demo: usage: cognitive-demo <trace [--out PATH] | report --trace PATH [--out PATH] | replay --trace PATH | ask --trace PATH --question SLUG [--out PAT,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-02,cognitive-demo,cognitive-demo trace [--out PATH],"As an operator, I want to emit the canonical CognitiveTrace JSON so I can inspect/replay the deterministic end-to-end trace.",Prints (or writes --out) the canonical trace JSON (~1994 bytes); pure function of fixed inputs; exact bytes with --out.,Inventoried,,PASS,rc=0;,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-03,cognitive-demo,cognitive-demo report --trace PATH [--out PATH],"As an operator, I want a plain report of every trace stage so I can read it without parsing JSON.","Re-derives canonical trace, byte-compares provided file, renders report; refuses tampered/foreign trace (exit 1).",Inventoried,,PASS,rc=0; COGNITIVE OS — END-TO-END TRACE REPORT,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-04,cognitive-demo,cognitive-demo replay --trace PATH,"As an operator, I want to confirm a trace is the byte-identical canonical trace so I can trust it.",Re-derives canonical trace; prints 'replay: OK ...' if byte-identical else fails closed (exit 1).,Inventoried,,PASS,rc=0; replay: OK — the trace is the byte-identical canonical trace,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-05,cognitive-demo,cognitive-demo ask --trace PATH --question SLUG [--out PATH],"As an operator, I want to answer one enumerated audit question about a trace so I get a grounded prose answer.","Re-derives/verifies trace, answers one of 8 enumerated slugs; unknown slug fails closed; missing --question errors.",Inventoried,,PASS,rc=0; WAS ANYTHING EXECUTED?  No. || PROBE-unknown-slug: rc=1 cognitive-demo: unknown question 'not-a-real-slug' — run `cognitive-demo questions` for the finite set,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-06,cognitive-demo,cognitive-demo questions,"As an operator, I want to list the finite audit-question menu so I know what I can ask.",Prints the 8 question slugs with descriptions; no trace needed.,Inventoried,,PASS,"rc=0; cognitive-demo — audit questions (finite, enumerated; ask one with `ask --question <slug>`):",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-07,cognitive-demo,cognitive-demo bundle --out DIR,"As an operator, I want a reproducible 4-file repro pack so I can share a verifiable demonstration.","Writes trace.json, report.txt, questions.txt, manifest.json into DIR; prints summary + boundary.",Inventoried,,PASS,rc=0; bundle: wrote 4 files to pack,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-08,cognitive-demo,cognitive-demo bundle-verify --path DIR,"As an operator, I want to verify a repro pack so I can detect any tamper.","Re-derives every bundle file from canonical trace, byte-compares; refuses missing/tampered/foreign file (exit 1).",Inventoried,,PASS,rc=0; bundle-verify: OK — every bundle file re-derives byte-identically from the canonical trace,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-09,cognitive-demo,cognitive-demo scenarios,"As an operator, I want to list the scenario set so I know which deterministic paths exist.","Prints 4 scenarios (happy-boundary, review-rejected, review-deferred, high-risk-blocked).",Inventoried,,PASS,rc=0; cognitive-demo — deterministic scenarios (each proves the SAME authority boundary):,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-10,cognitive-demo,cognitive-demo scenario-pack --out DIR,"As an operator, I want a pack of all scenario bundles so I can audit every path.",Writes 4 scenario bundle subdirs (16 files) + pack-manifest.json; prints summary.,Inventoried,,PASS,rc=0; scenario-pack: wrote 4 scenarios (16 bundle files) + pack-manifest.json to scn,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-11,cognitive-demo,cognitive-demo scenario-verify --path DIR,"As an operator, I want to verify the scenario pack so I can detect tamper across every scenario.","Re-derives every scenario bundle + manifest, byte-compares; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; scenario-verify: OK — every scenario bundle and the pack manifest re-derive byte-identically,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-12,cognitive-demo,cognitive-demo scenario-matrix --pack DIR [--out PATH],"As an operator, I want a coverage matrix over the scenario pack so I can see all boundaries hold.","Verifies pack, then emits canonical 4x4 coverage matrix JSON (re-derived; pack untrusted).",Inventoried,,PASS,rc=0;,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-13,cognitive-demo,cognitive-demo scenario-matrix-report --matrix PATH [--out PATH],"As an operator, I want a readable matrix report so I can review coverage in prose.","Verifies provided matrix IS canonical, renders report; refuses tampered matrix (exit 1).",Inventoried,,PASS,rc=0; COGNITIVE OS — SCENARIO BOUNDARY COVERAGE MATRIX,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-14,cognitive-demo,cognitive-demo scenario-matrix-verify --pack DIR --matrix PATH,"As an operator, I want to verify both pack and matrix so I can trust the coverage claim.","Re-derives pack AND matrix, byte-compares both; refuses either tamper (exit 1).",Inventoried,,PASS,rc=0; scenario-matrix-verify: OK — the scenario pack and the coverage matrix re-derive byte-identically,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-15,cognitive-demo,cognitive-demo failure-cases,"As an operator, I want to list the forged negative scenarios so I know which attacks are tested.",Prints 7 forged authority cases (execution/evidence/promotion/training/review/report/matrix).,Inventoried,,PASS,rc=0; cognitive-demo — deterministic failure cases (each forges forbidden authority and is rejected):,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-16,cognitive-demo,cognitive-demo failure-pack --out DIR,"As an operator, I want proof that forged authority claims are rejected so I trust fail-closed behaviour.","Runs every forgery through verifiers, records each REJECTED; writes 2 files; nothing forged persisted as trusted.",Inventoried,,PASS,rc=0; failure-pack: wrote 2 files to fp (every forged authority claim REJECTED),none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-17,cognitive-demo,cognitive-demo failure-verify --path DIR,"As an operator, I want to verify the failure pack so I can detect tamper of the rejection record.","Re-derives failure pack (re-runs forgeries), byte-compares; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; failure-verify: OK — the failure pack re-derives byte-identically; every forged claim stays rejected,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-18,cognitive-demo,cognitive-demo doc-trace --input PATH [--out PATH],"As an operator, I want to trace a local document so I can run the pipeline on my own text.","Path-validated/confined read; verifies document first span via frozen reader, builds same trace; fails closed if read unverified.",Inventoried,,PASS,rc=0; || PROBE-absolute-input: rc=1 cognitive-demo: refusing unsafe input path '/etc/hostname' — the document flow reads only a local file inside the working directory,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-19,cognitive-demo,cognitive-demo doc-report --input PATH --trace PATH [--out PATH],"As an operator, I want a report for my document's trace so I can read its stages.","Re-derives trace from same --input, byte-compares --trace, renders report; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; COGNITIVE OS — END-TO-END TRACE REPORT,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-20,cognitive-demo,cognitive-demo doc-bundle --input PATH --out DIR,"As an operator, I want a repro bundle over my document so I can share it verifiably.",Writes 4-file bundle derived from the document's verified trace.,Inventoried,,PASS,rc=0; doc-bundle: wrote 4 files to docpack,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-21,cognitive-demo,cognitive-demo doc-bundle-verify --input PATH --path DIR,"As an operator, I want to verify my document bundle so I can detect tamper of doc or bundle.","Re-derives bundle from same --input, byte-compares every file; refuses tampered doc or bundle file (exit 1).",Inventoried,,PASS,rc=0; doc-bundle-verify: OK — every bundle file re-derives byte-identically from the operator document,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
